127.0.0.1, 2015-10-06 17:47:57, GET, /, HTTP/1.1, 303, 0.056853
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.139019
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000694
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000611
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000432
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000341
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000278
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000596
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001267
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001779
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000242
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000366
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000385
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000971
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000657
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000313
127.0.0.1, 2015-10-06 17:47:57, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000263
127.0.0.1, 2015-10-06 17:48:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.012118
127.0.0.1, 2015-10-06 17:48:18, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000419
127.0.0.1, 2015-10-06 17:48:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000205
127.0.0.1, 2015-10-06 17:48:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.011571
127.0.0.1, 2015-10-06 17:57:58, GET, /, HTTP/1.1, 303, 0.000340
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.014192
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001045
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001848
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000771
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002597
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000990
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000666
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000558
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001340
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000921
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001214
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000739
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000577
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000762
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001565
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001187
127.0.0.1, 2015-10-06 17:57:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000251
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/default/index, HTTP/1.1, 200, 0.062720
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.001850
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.001733
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000504
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.001328
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000681
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000257
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.000409
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000325
127.0.0.1, 2015-10-06 17:59:17, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000805
